# 店家座標表（手工估算，可直接改；build-data.mjs 用它算「離活動區域最近」排序）
# 欄位: 店名<TAB>縣市<TAB>lat<TAB>lng<TAB>上游店名（sync 對照用）<TAB>體感調整km（選填，正數變遠）
# 體感調整用在「直線距離騙人」的情況：捷運直達的調負、要轉線或只能公車的調正
三越南西	台北市	25.0525	121.5205	Funbox 三越南西店
忠孝SOGO	台北市	25.0417	121.5442	Fun box忠孝SOGO
三越站前	台北市	25.0459	121.5165	Funbox 三越站前店
北車地下街	台北市	25.0490	121.5175	來玩聚-北車地下街
天母SOGO	台北市	25.1165	121.5310	Funbox 天母SOGO店
高島屋	台北市	25.1130	121.5300	Funbox 大葉高島屋
天母三越	台北市	25.1120	121.5320	Funbox天母三越店
信義A8	台北市	25.0390	121.5670	Funbox-信義A8店	-1.2
信義A13	台北市	25.0370	121.5680	Funbox 遠百信義A13	-1.2
美麗華	台北市	25.0830	121.5570	Funbox 美麗華
南港潤泰	台北市	25.0530	121.6070	Funbox-南港潤泰	-1.5
南港LaLaport	台北市	25.0540	121.6160	Funbox LaLaport南港	-1.5
比漾廣場	新北市	25.0110	121.5170	FUNBOX 比漾廣場店
板橋遠東	新北市	25.0110	121.4640	Funbox板橋遠東店	-1.5
板橋大遠百	新北市	25.0140	121.4645	Funbox板橋大遠百	-1.5
中和環球	新北市	25.0060	121.4830	Funbox 中和環球店
汐止遠雄	新北市	25.0590	121.6430	FunBox 汐止遠雄店
樹林秀泰	新北市	24.9900	121.4200	Funbox樹林秀泰店
淡水禮萊	新北市	25.1550	121.4500	Funbox淡水禮萊廣場店
宏匯	新北市	25.0400	121.4460	Funbox 宏匯廣場店
新店誠品	新北市	24.9720	121.5380	Funbox新店誠品店

# 以下為雙北以外：目前沒有座標，排在雙北之後、依縣市原順序
中壢大江	桃園市			Funbox 中壢大江店
桃園站前三越	桃園市			Funbox-桃園站前三越
桃園環球A8	桃園市			Funbox Toy-桃園環球A8店
桃園台茂	桃園市			Funbox toys - 桃園台茂店
中壢SOGO	桃園市			FunBox - 中壢SOGO店
桃園環球A19	桃園市			FunBox - 桃園環球A19店
桃園遠東	桃園市			Funbox-桃園遠東店
新竹巨城	新竹市			Funbox 新竹巨城店
新竹遠東	新竹市			Funbox-新竹遠東店
新竹遠雄	新竹縣			Funbox-新竹遠雄店
竹北遠百	新竹縣			Funbox-竹北遠百店
享平方	新竹縣			Funbox 享平方店
苗栗尚順	苗栗縣			FUNBOX 苗栗尚順店
台中中友	台中市			Funbox 台中中友店
台中lalaport	台中市			Funbox 台中lalaport
台中港三井	台中市			Funbox 台中港三井店
台中遠百	台中市			FUNBOX 台中遠百店
台中遠雄	台中市			Funbox-台中遠雄店
文心秀泰	台中市			Funbox文心秀泰店
新光三越台中	台中市			Funbox 新光三越台中店
豐原太平洋	台中市			Funbox 豐原太平洋店
漢神洲際	台中市			Funbox-漢神洲際店
廣三SOGO	台中市			Funbox 廣三SOGO店
麗寶一期	台中市			Funbox麗寶一期店
來玩聚彰化	彰化縣			來玩聚-彰化店
來玩聚員林	彰化縣			來玩聚-員林店
來玩聚斗六	雲林縣			來玩聚斗六店
嘉義耐斯	嘉義市			Funbox嘉義耐斯店
嘉義三越	嘉義市			Funbox 嘉義三越店
嘉義遠東	嘉義市			Funbox Toys-嘉義遠東店
台南南紡	台南市			FUNBOX-台南南紡店
台南三井	台南市			Funbox台南三井
來玩聚新仁	台南市			來玩聚-新仁店
來玩聚楠梓	高雄市			來玩聚 楠梓店
來玩聚新楠	高雄市			來玩聚 新楠店
高雄漢神	高雄市			Funbox-高雄漢神店
漢神巨蛋	高雄市			Funbox-漢神巨蛋店
夢時代	高雄市			Funbox-夢時代店
高雄大立	高雄市			Funbox 高雄大立店
大魯閣新光	高雄市			funbox大魯閣新光
義大2館	高雄市			Funbox義大2館
高雄義享	高雄市			Funbox高雄義享店
高雄左營	高雄市			Funbox Toys 高雄左營店
高雄sogo	高雄市			Funbox高雄sogo店
高雄大遠百	高雄市			高雄大遠百
來玩聚鳳山	高雄市			來玩聚鳳山店
屏東太平洋	屏東縣			funbox屏東太平洋
屏東環球	屏東縣			Funbox 屏東環球店
來玩聚新屏	屏東縣			來玩聚-新屏店
宜蘭新月	宜蘭縣			Funbox 宜蘭新月店
台東秀泰	台東縣			Funbox 台東秀泰店
來玩聚台東家樂福	台東縣			來玩聚-台東家樂福
澎湖3號港	澎湖縣			Funbox澎湖3號港店
竹北遠百	新竹縣			Funbox 竹北遠東店
台南新天地	台南市			funbox-台南新天地
花蓮funbox	花蓮縣			funbox 花蓮店
台中新時代	台中市			台中新時代
台南遠百	台南市			台南遠百
台南新天地	台南市			台南西門
